Year,AgeGroup,NumofSuicide,VeteranPopEst,"CrudeRate/100,000",MaleSuicide,MalePopEst,"MaleCrudeRate/100,000","FemaleCrudeRate/100,000",NonRecentVHAsuicides,NonRecentVHAuserPopEst,"NonRecentVHAcrudeRate/100,000",NumOfRecentVHAuserSuicide,VHAvetPopEst,"RecentVHAuserSuicideCrudeRate/100,000",FemaleNumbofSuicide,FemalePopest,MaleSuicidePercent,MalePopPercent,FemaleSuicidePercent,FemalePopPercent,NonRecentVHAsuicidePercent,NonRecentVHApopPercent,RecentVHAsuicidePercent,RecentVHApopPercent
2015,18-34,842.0,2045000.0,41.2,780.0,1658000.0,47.0,16.0,557.0,1439118.0,38.7,285.0,601872.0,47.4,62.0,387000.0,92.64,81.08,7.36,18.92,66.15,70.37,0.01,29.43
2015,35-54,1862.0,5663000.0,32.9,1710.0,4838000.0,35.3,18.4,1349.0,4415282.0,30.6,513.0,1234984.0,41.5,152.0,825000.0,91.84,85.43,8.16,14.57,72.45,77.97,0.01,21.81
2015,55-74,2499.0,8955000.0,27.9,2409.0,8401000.0,28.7,14.5,1526.0,5999066.0,25.4,973.0,2924651.0,33.3,90.0,554000.0,96.4,93.81,3.6,6.19,61.06,66.99,0.01,32.66
2015,75+,1415.0,4578000.0,30.9,1404.0,4434000.0,31.7,0.0,871.0,3341501.0,26.1,544.0,1216952.0,44.6,11.0,144000.0,99.22,96.85,0.78,3.15,61.55,72.99,0.01,26.58
2015,All,6624.0,21241000.0,31.2,6309.0,19331000.0,32.6,16.5,4309.0,15194302.0,28.4,2315.0,5979118.0,38.7,315.0,1910000.0,95.24,91.01,4.76,8.99,65.05,71.53,0.01,28.15
2016,18-34,891.0,1997000.0,44.6,834.0,1622000.0,51.4,15.2,574.0,1377937.0,41.7,317.0,615346.0,51.5,57.0,375000.0,93.6,81.22,6.4,18.78,64.42,69.0,0.02,30.81
2016,35-54,1699.0,5496000.0,30.9,1564.0,4682000.0,33.4,16.6,1214.0,4223887.0,28.7,485.0,1259661.0,38.5,135.0,814000.0,92.05,85.19,7.95,14.81,71.45,76.85,0.01,22.92
2016,55-74,2454.0,8831000.0,27.8,2360.0,8254000.0,28.6,15.1,1471.0,5837189.0,25.2,983.0,2962547.0,33.1,94.0,577000.0,96.17,93.47,3.83,6.53,59.94,66.1,0.01,33.55
2016,75+,1441.0,4539000.0,31.7,1428.0,4406000.0,32.4,0.0,868.0,3310401.0,26.2,573.0,1209288.0,47.4,13.0,133000.0,99.1,97.07,0.9,2.93,60.24,72.93,0.01,26.64
2016,All,6496.0,20863000.0,31.1,6197.0,18964000.0,32.7,15.7,4138.0,14748778.0,28.1,2358.0,6047472.0,39.0,299.0,1899000.0,95.4,90.9,4.6,9.1,63.7,70.69,0.01,28.99
2017,18-34,887.0,1951000.0,45.5,804.0,1589000.0,50.6,22.9,558.0,1341626.0,41.6,329.0,605758.0,54.3,83.0,362000.0,90.64,81.45,9.36,18.55,62.91,68.77,0.02,31.05
2017,35-54,1796.0,5343000.0,33.6,1650.0,4529000.0,36.4,17.9,1289.0,4044407.0,31.9,507.0,1286446.0,39.4,146.0,814000.0,91.87,84.77,8.13,15.23,71.77,75.7,0.01,24.08
2017,55-74,2558.0,8674000.0,29.5,2441.0,8056000.0,30.3,19.2,1585.0,5663145.0,28.0,973.0,2979746.0,32.7,117.0,618000.0,95.43,92.88,4.57,7.12,61.96,65.29,0.01,34.35
2017,75+,1510.0,4512000.0,33.5,1481.0,4369000.0,33.9,0.0,949.0,3276590.0,29.0,561.0,1216315.0,46.1,29.0,143000.0,98.08,96.83,1.92,3.17,62.85,72.62,0.01,26.96
2017,All,6783.0,20480000.0,33.1,6405.0,18543000.0,34.5,19.5,4413.0,14325195.0,30.8,2370.0,6088833.0,38.9,378.0,1937000.0,94.43,90.54,5.57,9.46,65.06,69.95,0.01,29.73
2018,18-34,905.0,1904000.0,47.5,820.0,1547000.0,53.0,23.8,589.0,1318485.0,44.7,316.0,582126.0,54.1,85.0,357000.0,90.61,81.25,9.39,18.75,65.08,69.25,0.02,30.57
2018,35-54,1744.0,5196000.0,33.6,1604.0,4381000.0,36.6,17.2,1209.0,3864233.0,31.3,535.0,1320118.0,40.5,140.0,815000.0,91.97,84.31,8.03,15.69,69.32,74.37,0.01,25.41
2018,55-74,2684.0,8551000.0,31.4,2575.0,7893000.0,32.6,16.4,1689.0,5554703.0,30.4,995.0,2966915.0,33.5,109.0,658000.0,95.94,92.3,4.06,7.7,62.93,64.96,0.01,34.7
2018,75+,1435.0,4515000.0,31.8,1414.0,4380000.0,32.3,0.0,893.0,3249973.0,27.5,542.0,1247184.0,43.5,21.0,135000.0,98.54,97.01,1.46,2.99,62.23,71.98,0.01,27.62
2018,All,6796.0,20166000.0,33.7,6439.0,18201000.0,35.4,18.2,4408.0,13986920.0,31.5,2388.0,6116816.0,39.0,357.0,1965000.0,94.75,90.26,5.25,9.74,64.86,69.36,0.01,30.33
2019,18-34,829.0,1863000.0,44.5,772.0,1514000.0,51.0,16.3,514.0,1297627.0,39.6,315.0,562141.0,56.0,57.0,349000.0,93.12,81.27,6.88,18.73,62.0,69.65,0.02,30.17
2019,35-54,1680.0,5075000.0,33.1,1528.0,4258000.0,35.9,18.6,1108.0,3702290.0,29.9,572.0,1361274.0,42.0,152.0,817000.0,90.95,83.9,9.05,16.1,65.95,72.95,0.01,26.82
2019,55-74,2452.0,8352000.0,29.4,2338.0,7669000.0,30.5,16.2,1461.0,5377265.0,27.2,991.0,2945639.0,33.6,114.0,683000.0,95.35,91.82,4.65,8.18,59.58,64.38,0.01,35.27
2019,75+,1497.0,4507000.0,33.2,1477.0,4364000.0,33.8,0.0,897.0,3199339.0,28.0,600.0,1289375.0,46.5,20.0,143000.0,98.66,96.83,1.34,3.17,59.92,70.99,0.01,28.61
2019,All,6489.0,19797000.0,32.8,6144.0,17805000.0,34.5,17.3,4011.0,13576124.0,29.5,2478.0,6158823.0,40.2,345.0,1992000.0,94.68,89.94,5.32,10.06,61.81,68.58,0.01,31.11
2020,18-34,843.0,1827000.0,46.1,776.0,1484000.0,52.3,19.5,526.0,1325648.0,39.7,317.0,498377.0,63.6,67.0,343000.0,92.05,81.23,7.95,18.77,62.4,72.56,0.02,27.28
2020,35-54,1575.0,4950000.0,31.8,1458.0,4142000.0,35.2,14.5,1061.0,3608042.0,29.4,514.0,1330842.0,38.6,117.0,808000.0,92.57,83.68,7.43,16.32,67.37,72.89,0.01,26.89
2020,55-74,2222.0,8096000.0,27.4,2137.0,7387000.0,28.9,10.7,1321.0,5257693.0,25.1,901.0,2810344.0,32.1,85.0,709000.0,96.17,91.24,3.83,8.76,59.45,64.94,0.01,34.71
2020,75+,1451.0,4530000.0,32.0,1445.0,4390000.0,32.9,0.0,743.0,3206969.0,23.2,708.0,1304890.0,54.3,6.0,140000.0,99.59,96.91,0.41,3.09,51.21,70.79,0.02,28.81
2020,All,6146.0,19403000.0,31.7,5870.0,17403000.0,33.7,13.8,3706.0,13397918.0,27.7,2440.0,5944883.0,41.0,276.0,2000000.0,95.51,89.69,4.49,10.31,60.3,69.05,0.01,30.64
